Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,12.3247066
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1198.13
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4526
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.435502
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.6878213714
adsorption_energy_widom_dev,0.0074333312
adsorption_energy_widom_unit,kJ/mol
henry_coefficient_average,1.05315e-05
henry_coefficient_dev,1.83054e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,False
is_porous,True
temperature,298
temperature_unit,K
